"","meanSmsy","lowerCI","upperCI","S1970s","S1980s","S1990s","S2000s","SAll"
"Alastair",13336.1584292404,10742.7059928155,16928.2316844071,9436.5,14604.5,20059.5,13561.25,20883.5531914894
"Babine-Enhanced",344898.638824352,220412.014697065,936605.579927438,351395.2,443315.1,459327.8,559844.125,391871.479166667
"Babine-Early-Wild",43507.424582726,30250.4686945572,161170.835801748,62186.4,42681,51383,70016.875,57804.125
"Babine-Mid-Wild",18431.5543442522,12333.125868011,197271.189374998,17442.6,10818.9,15900.4,35469,21226.4583333333
"Babine-Late-Wild",239260.521348484,150937.593398515,713292.154503648,249797.8,218044.3,253774.2,210407.75,247723.104166667
"Kitsumkalum",10600.1374084446,7398.09608123081,16315.8793543496,4555.4,2357.3,12507.8333333333,25033.6,7323.46666666667
"Lakelse",11615.7536856567,8805.30790411594,16046.5927357224,7416.6,17213.8,8800.66666666667,7386.5,16886.1794871795
"Mcdonell",2006.25642413802,1717.2669111137,2440.91368592473,3200,3456,NA,7503.33333333333,3569.07142857143
"Morice",97101.9172777504,51427.996965664,185767.846053457,3425.1,6183.75,54966.1666666667,17581.3333333333,14240.9761904762
"Stephens",4333.29018195126,3283.18108715747,6225.06675390903,6823.57142857143,8768.28571428571,8332.33333333333,14063.5,7655.91428571429
"Swan",9806.14281354447,5486.79304716929,17915.9069859633,3161.75,11448.7142857143,4728,5759,7000.13636363636
