"stock","alpha","beta"
"E.Stuart",1.3314284075863,1.33290463194913e-06
"L.Stuart",1.49386793979059,5.33169156352254e-07
"Stellako",1.61086713092713,2.22078985700475e-06
"Bowron",1.55667074885602,2.52669581308922e-05
"Raft",1.42770491810529,2.82823354990976e-05
"Quesnel",1.2082494262121,6.30092661157895e-07
"Chilko",1.96096262234095,1.47792209165699e-06
"L.Shuswap",1.14887283731216,4.20571115508995e-07
"Birkenhead",1.97140457216236,7.4488961232785e-06
"Cultus",1.12067725048735,1.20038627666905e-05
"Portage",1.72318274019177,5.45291774392783e-06
"Weaver",1.8304523035488,1.44017653694525e-06
"Fennell",2.1470761372901,0.000101694507510629
"Gates",1.30395321729139,3.63830021910246e-06
"Nadina",1.26298580665684,8.07406893414091e-07
"Pitt",1.62236105266858,2.47004024145951e-05
"Harrison",0.690639391394665,8.90152567383457e-07
