"","meanUmsy","lowerCI","upperCI","U1970s","U1980s","U1990s","U2000s","UAll"
"E.Stuart",0.544712792725262,0.470827107132057,0.61119566649418,0.719408947583333,0.493041555416667,0.328357181,0.161688266,0.522835295783333
"L.Stuart",0.593163486488624,0.492359400959147,0.67927074252927,0.809166666666667,0.794166666666667,0.595,0.4675,0.703333333333333
"Stellako",0.625881286221852,0.546291781845133,0.699050166482241,0.816666666666667,0.813333333333333,0.604166666666667,0.4225,0.703833333333333
"Bowron",0.610801183485518,0.525331664161578,0.68861840123299,0.815,0.716666666666667,0.485,0.360833333333333,0.655666666666667
"Raft",0.574638318283021,0.484365043005269,0.649944197089019,0.806666666666667,0.688333333333333,0.471666666666667,0.350833333333333,0.634833333333333
"Quesnel",0.50389874284342,0.364832134765754,0.626398115554226,0.803333333333333,0.8,0.569166666666667,0.389166666666667,0.677833333333333
"Chilko",0.712645921804653,0.645549965761369,0.771441633161713,0.808333333333333,0.79,0.5825,0.395833333333333,0.679
"L.Shuswap",0.485020833990218,0.329392372979305,0.615276634747879,0.809166666666667,0.799166666666667,0.5925,0.337,0.598448275862069
"Birkenhead",0.715688206399861,0.596779014823724,0.803113496267099,0.8475,0.823333333333333,0.5875,0.300833333333333,0.687666666666667
"Portage",0.655569271249285,0.54482651335545,0.745571427504706,0.84,0.838333333333333,0.584166666666667,0.339090909090909,0.67875
"Weaver",0.682895982082504,0.572147640254909,0.770434668542129,0.82,0.823333333333333,0.5925,0.273333333333333,0.641086956521739
"Fennell",0.752419501021959,0.650765991786204,0.828387583671942,0.795,0.648333333333333,0.455833333333333,0.339166666666667,0.58
"Gates",0.535571768386848,0.424472294600924,0.630047811341518,0.8,0.683333333333333,0.558333333333333,0.37,0.610227272727273
"Nadina",0.522443400954767,0.418347634581247,0.616331454945288,0.806666666666667,0.764166666666667,0.553333333333333,0.423333333333333,0.619487179487179
"Pitt",0.629514986011638,0.533736597008894,0.708581155419188,0.75,0.545833333333333,0.353333333333333,0.23,0.563
"Harrison",0.31318760725043,0.129834323198361,0.475534312174569,0.770833333333333,0.6975,0.43,0.190833333333333,0.594166666666667
